5,6,8,5,5,7,8,8,8,6,6,6,6,7,2,2,2,2,1,1,2,5,5,2,2,9,10,7,17,15,15,21,21,21,21,20,25,20,26,26,20,26,25,17,18,9,10,13,13,10,13,10,10,13,12,13,12,11,13,13,
8,5,7,6,6,2,7,7,5,6,7,6,6,7,1,1,7,5,5,6,5,2,26,26,26,17,5,25,25,25,25,25,25,26,26,26,26,31,26,26,25,26,17,17,17,9,10,10,13,13,13,10,10,11,10,12,12,12,13,13,
1,1,2,2,6,5,5,6,6,7,7,6,6,6,7,1,1,2,2,7,7,5,1,1,17,17,17,17,17,21,27,27,27,29,27,31,27,27,20,20,20,18,21,9,10,10,11,13,13,12,13,13,13,13,12,12,13,13,12,13,
1,1,1,6,6,1,1,1,1,7,6,6,7,7,5,5,5,5,1,1,1,1,17,17,17,17,17,17,25,25,27,27,29,29,29,29,30,29,31,26,26,25,26,25,17,17,18,9,9,9,11,11,11,11,10,10,10,10,12,12,
1,2,7,7,6,5,5,7,6,2,7,6,6,6,6,7,2,2,7,7,6,1,6,5,21,17,17,8,17,25,25,25,25,27,29,27,29,29,26,26,31,26,26,26,25,25,17,17,9,15,10,11,10,10,10,10,10,13,12,13,
5,7,8,5,5,2,2,2,2,1,6,7,2,2,5,5,7,6,1,1,5,5,5,22,9,8,9,17,25,25,25,25,29,29,29,29,29,29,31,26,26,26,26,25,17,17,9,9,9,10,9,9,11,9,11,10,13,13,13,13,
1,1,6,1,1,1,1,1,1,2,2,2,7,5,5,7,7,1,1,1,1,1,1,22,17,17,17,17,17,25,25,25,25,25,29,27,31,26,26,26,26,26,25,21,9,9,15,9,11,11,11,11,11,10,12,10,13,13,13,16,
5,8,5,2,7,7,7,5,5,1,1,6,5,1,1,5,6,6,7,2,1,1,1,17,17,1,17,17,25,25,25,25,27,25,27,25,25,29,29,26,26,26,26,26,25,25,21,15,9,9,9,11,9,9,11,10,11,10,10,12,
5,5,7,5,1,1,1,7,5,5,5,6,5,5,7,6,5,7,6,1,1,1,19,19,17,17,9,9,25,25,25,25,25,25,26,26,29,29,26,26,26,25,25,17,17,9,9,22,9,9,9,10,10,9,11,10,10,10,13,10,
7,1,1,1,7,5,7,1,1,1,1,1,1,1,1,1,6,1,5,1,7,2,2,21,25,25,25,17,17,25,25,25,25,29,29,29,29,26,29,25,26,17,21,9,9,9,9,9,11,9,10,11,10,10,12,13,13,16,16,16,
6,7,7,7,7,7,5,5,2,2,6,6,7,7,7,7,1,5,5,2,1,7,5,20,25,25,17,5,17,25,25,27,25,29,29,29,29,29,29,26,25,25,25,17,21,9,9,9,11,9,11,10,12,10,10,13,13,13,13,10,
6,6,6,6,7,5,6,6,5,5,6,6,5,7,7,2,2,6,2,5,5,1,5,5,5,18,17,17,8,17,17,25,25,25,25,25,26,26,26,26,25,25,25,25,17,21,9,11,9,10,9,11,11,13,13,12,13,13,13,13,
2,5,5,2,1,1,1,1,1,2,2,6,7,7,2,1,1,7,1,1,1,1,1,1,1,1,6,7,10,21,25,25,17,17,25,25,25,25,25,27,29,29,29,29,26,26,25,20,17,21,9,9,11,11,11,11,10,11,10,10,
